IDDESA,NAMA_KAB,NAMA_KEC,NAMA_DESA,R105,Latitude,R307B_LAT2,Longitude,total_kk,total_penduduk,sktm,sktm_per_100kk,skor_kesejahteraan,sektor_dominan,grup_sektor,sektor_industri,sektor_jasa,sektor_lainnya,sektor_perdagangan,sektor_pertanian,subsektor_pertanian,is_pertanian,skor_diversifikasi,ada_pades,jumlah_bumdes,ada_bumdes,skor_bumdes,jumlah_kud,jumlah_kospin,total_koperasi,ada_koperasi,skor_koperasi,skor_kelembagaan,ada_produk_unggulan,orientasi_ekspor,industri_makanan,industri_kerajinan,total_industri,ada_industri,skor_industri,skor_produktivitas,akses_kur,skor_akses_modal,skor_infrastruktur_ekonomi,skor_ekonomi_total,kategori_ekonomi,cluster,label
3501040021,PACITAN,PACITAN,BANJARSARI,2,-8.1617668,2,111.1297077,573,2292,25,4.363001745200698,74.35622309401319,1,pertanian,False,False,False,False,True,1,100,0,100,1,100,33.33333333333333,0,1,1,100,25.0,50.83333333333333,100,0.0,9,4,13,100,39.39393939393939,46.81818181818181,100,100,0,53.001934561382086,Transisi,0,Desa Subsisten Pertanian
3501040022,PACITAN,PACITAN,BOLOSINGO,2,-8.1494495,2,111.1243218,479,1916,10,2.0876826722338206,87.72953305458836,1,pertanian,False,False,False,False,True,1,100,0,100,0,0,0.0,0,2,2,100,50.0,45.0,100,0.0,15,0,15,100,45.45454545454545,48.63636363636363,100,100,0,55.341474172737996,Transisi,0,Desa Subsisten Pertanian
3501040023,PACITAN,PACITAN,SAMBONG,2,-8.1665134,2,111.1015681,1057,4228,15,1.4191106906338695,91.65910075659578,1,pertanian,False,False,False,False,True,1,100,0,100,1,100,33.33333333333333,0,0,0,0,0.0,43.33333333333333,100,0.0,5,3,8,100,24.242424242424242,42.27272727272727,100,100,0,54.3162903406641,Transisi,0,Desa Subsisten Pertanian
3501040024,PACITAN,PACITAN,PONGGOK,2,-8.148811,2,111.1065835,609,2436,25,4.105090311986864,75.87211138402225,1,pertanian,False,False,False,False,True,1,100,0,100,0,0,0.0,0,0,0,0,0.0,30.0,100,0.0,6,0,6,100,18.181818181818183,40.45454545454545,100,100,0,46.58166420964193,Berkembang,0,Desa Subsisten Pertanian
3501040025,PACITAN,PACITAN,TAMBAKREJO,2,-8.147187,2,111.1348652,705,2820,22,3.120567375886525,81.65869777719888,1,pertanian,False,False,False,False,True,1,100,0,100,0,0,0.0,0,0,0,0,0.0,30.0,0,0.0,2,1,3,100,9.090909090909092,2.7272727272727275,100,100,0,38.59649262611791,Berkembang,0,Desa Subsisten Pertanian
3501050001,PACITAN,KEBONAGUNG,PLUMBUNGAN,2,-8.2353089,2,111.1284568,407,1628,88,21.62162162162162,0.0,1,pertanian,False,False,False,False,True,1,100,0,100,1,100,33.33333333333333,0,0,0,0,0.0,43.33333333333333,100,0.0,3,1,4,100,12.121212121212121,38.63636363636363,100,100,0,30.492424242424242,Subsisten,0,Desa Subsisten Pertanian
3501050002,PACITAN,KEBONAGUNG,KARANGNONGKO,2,-8.224339,2,111.1799768,707,2828,16,2.263083451202263,86.69860556299365,1,pertanian,False,False,False,False,True,1,100,0,100,1,100,33.33333333333333,0,1,1,100,25.0,50.83333333333333,100,0.0,52,1,53,100,100.0,65.0,100,100,0,60.632984724081744,Transisi,0,Desa Subsisten Pertanian
3501050003,PACITAN,KEBONAGUNG,KALIPELUS,2,-8.2481742,2,111.1541445,581,2324,20,3.4423407917383817,79.76745725696324,1,pertanian,False,False,False,False,True,1,100,0,100,1,100,33.33333333333333,0,1,1,100,25.0,50.83333333333333,0,0.0,131,0,131,100,100.0,30.0,100,100,0,50.150197647574146,Transisi,0,Desa Subsisten Pertanian
3501050004,PACITAN,KEBONAGUNG,KATIPUGAL,2,-8.2458985,2,111.157565,677,2708,20,2.954209748892171,82.63647365774837,1,pertanian,False,False,False,False,True,1,100,0,100,1,100,33.33333333333333,0,1,1,100,25.0,50.83333333333333,100,0.0,349,0,349,100,100.0,65.0,100,100,0,59.617451747770424,Transisi,0,Desa Subsisten Pertanian
3501050005,PACITAN,KEBONAGUNG,KLESEM,2,-8.2468131,2,111.1737194,1118,4472,38,3.3989266547406083,80.02262617706774,1,pertanian,False,False,False,False,True,1,100,0,100,1,100,33.33333333333333,0,1,1,100,25.0,50.83333333333333,0,0.0,219,0,219,100,100.0,30.0,100,100,0,50.21398987760027,Transisi,0,Desa Subsisten Pertanian
