akses_listrik,ras_listrik_pln,sanitasi_layak,air_aman,jalan_baik,aksesibilitas_jalan,kesejahteraan_ekonomi,pades,bumdes,produk_unggulan,jml_koperasi,sektor_jasa,sektor_lainnya,sektor_perdagangan,sektor_pertanian,puskesmas,posyandu,bidan,gizi_buruk,pendidikan_dasar,pendidikan_menengah,tbm,pemilahan_sampah,no_banjir,peringatan_dini,internet_desa,rkp_desa
100.0,100.0,1,0,1,4,96.8682505399568,0,0,0,3,False,True,False,False,0,7,5,0,2,1,1,1,1,0,4,0
100.0,100.0,1,1,1,4,94.91833030852995,1,0,0,0,False,False,False,True,0,9,2,0,2,0,0,1,1,1,4,1
100.0,100.0,1,0,1,4,95.69707401032703,1,0,1,1,False,False,False,True,0,2,1,0,1,0,1,1,1,0,4,1
100.0,100.0,1,1,1,4,95.74816026165168,1,1,0,2,False,False,False,True,0,4,1,0,1,0,1,1,1,1,4,1
100.0,100.0,1,1,1,4,95.9448499594485,0,0,1,4,False,True,False,False,0,5,7,0,1,2,1,1,1,1,4,0
100.0,100.0,1,1,1,4,90.19607843137254,0,0,0,4,False,False,True,False,1,5,4,0,2,0,0,1,1,1,4,0
100.0,100.0,1,1,1,4,98.2336956521739,1,3,1,3,False,False,True,False,0,4,2,0,1,0,0,1,1,1,4,1
100.0,100.0,1,0,1,4,95.8710976837865,1,0,1,1,False,False,False,True,1,7,0,0,1,0,1,1,1,1,4,1
100.0,100.0,1,0,1,4,92.06349206349206,1,1,1,0,False,False,False,True,0,3,2,0,1,1,1,1,1,1,4,1
100.0,100.0,1,0,1,4,95.27186761229315,1,0,0,0,False,False,False,True,0,4,1,0,1,0,1,1,1,1,4,1
100.0,100.0,1,0,1,4,96.14835948644793,1,1,0,1,False,False,False,True,0,4,1,0,3,1,1,2,1,0,4,1
100.0,100.0,1,0,1,4,99.41634241245136,1,1,1,0,False,False,False,True,0,3,2,0,2,0,0,3,1,1,4,1
100.0,100.0,1,0,1,4,95.6369982547993,1,1,1,1,False,False,False,True,0,5,2,0,1,0,1,2,1,1,4,1
100.0,100.0,1,0,1,4,97.91231732776617,1,0,1,2,False,False,False,True,0,7,1,0,1,0,1,2,1,1,4,1
100.0,100.0,1,0,1,4,98.58088930936613,1,1,1,0,False,False,False,True,0,4,2,0,2,1,0,2,1,1,4,1
100.0,100.0,1,0,1,4,95.89490968801314,1,0,1,0,False,False,False,True,0,3,1,0,2,1,1,1,1,1,4,1
100.0,100.0,1,0,1,4,96.87943262411348,1,0,0,0,False,False,False,True,0,3,4,0,2,0,1,2,1,1,4,1
100.0,100.0,1,1,1,4,78.37837837837839,1,1,1,0,False,False,False,True,0,2,1,0,2,0,0,2,1,1,4,1
100.0,100.0,1,1,1,4,97.73691654879774,1,1,1,1,False,False,False,True,0,3,1,0,2,0,0,3,1,1,4,1
100.0,100.0,1,1,1,4,96.55765920826161,1,1,0,1,False,False,False,True,0,3,1,0,1,0,0,2,1,1,4,1
100.0,100.0,1,1,1,4,97.04579025110783,1,1,1,1,False,False,False,True,0,3,1,0,2,1,0,1,1,1,4,1
100.0,100.0,1,1,1,4,96.6010733452594,1,1,0,1,False,False,False,True,0,8,1,39,3,0,0,2,1,1,4,1
100.0,100.0,1,1,1,4,95.44956140350877,0,1,0,1,False,False,False,True,0,13,2,4,4,2,0,1,1,1,3,1
100.0,100.0,1,1,1,4,98.06451612903226,0,2,1,1,False,False,False,False,0,6,2,0,2,1,0,1,1,1,4,1
100.0,100.0,1,1,1,4,95.2023988005997,0,3,1,1,False,False,False,True,0,4,1,0,2,1,0,2,1,1,4,1
100.0,100.0,1,1,1,4,97.29729729729729,1,1,1,0,False,False,False,True,0,3,1,0,3,0,0,3,1,1,4,1
100.0,100.0,1,1,1,4,97.70580296896087,1,1,1,0,False,False,False,True,0,5,1,0,3,0,0,2,1,0,4,1
100.0,100.0,1,0,1,4,94.64285714285714,1,1,1,1,False,False,False,True,0,2,1,1,1,0,0,3,1,1,4,1
100.0,100.0,1,0,1,4,96.8944099378882,1,1,1,1,False,True,False,False,0,7,1,0,2,2,0,2,1,1,4,1
100.0,100.0,1,0,1,4,97.27891156462584,1,1,1,1,False,False,False,True,0,1,1,0,1,0,1,3,1,1,4,1
100.0,100.0,1,1,1,4,98.66555462885738,1,1,1,0,False,False,False,True,0,6,0,0,4,1,0,2,1,1,4,1
100.0,100.0,1,0,1,4,99.72401103955842,1,1,1,1,False,False,False,True,0,7,1,0,3,0,0,3,1,1,4,1
100.0,100.0,1,1,1,4,96.75850891410049,1,4,1,0,False,False,False,True,0,7,1,0,3,0,0,1,1,1,4,1
100.0,100.0,1,1,1,4,97.92,1,2,1,0,False,False,False,True,0,4,2,0,2,0,0,1,1,1,4,1
100.0,100.0,1,1,1,4,95.01385041551247,1,1,1,0,False,False,False,True,0,7,0,1,3,0,0,2,1,1,4,1
100.0,100.0,1,0,1,4,92.32456140350877,1,1,1,0,False,False,False,True,1,7,1,0,4,2,0,2,1,1,4,1
100.0,100.0,1,0,1,4,97.33700642791553,1,3,0,0,False,False,False,True,0,5,1,0,4,1,1,1,1,0,4,1
100.0,100.0,1,0,1,4,95.13944223107569,1,1,1,2,False,False,False,True,0,6,1,0,4,1,1,1,1,0,4,1
100.0,100.0,1,0,1,4,96.43387815750371,1,0,1,1,False,False,False,True,0,2,1,0,1,1,1,1,1,0,4,1
100.0,100.0,1,0,1,4,97.10144927536231,1,1,1,1,False,False,True,False,0,2,2,0,1,2,0,2,1,0,4,1
100.0,100.0,1,0,1,4,97.86950732356857,1,1,1,3,False,False,False,True,0,4,1,0,3,0,0,3,1,0,4,1
100.0,100.0,1,0,1,4,98.72408293460926,1,2,0,1,False,False,False,True,0,3,1,0,2,0,0,3,1,0,4,1
100.0,100.0,1,0,1,4,98.25174825174825,1,1,0,1,False,False,False,True,0,4,1,0,3,1,0,3,1,0,4,1
100.0,100.0,1,0,1,4,96.44970414201184,1,2,0,1,False,False,False,True,0,5,1,0,3,1,0,2,1,0,4,1
100.0,100.0,1,1,1,4,96.3855421686747,1,0,0,1,False,False,False,True,0,3,1,0,1,0,0,2,1,0,4,1
100.0,100.0,1,1,1,4,96.64570230607967,1,1,1,1,False,False,False,True,1,4,2,0,3,0,1,2,1,1,4,1
100.0,100.0,1,1,1,4,98.61687413554634,1,3,1,1,False,False,False,True,0,4,1,0,2,1,0,1,1,0,4,1
100.0,100.0,1,1,1,4,99.78213507625273,1,0,0,1,False,False,False,True,0,4,1,0,3,1,0,2,1,0,4,1
100.0,100.0,1,1,1,4,98.7987987987988,1,1,1,1,False,False,False,True,0,5,1,0,5,2,0,1,1,0,4,1
100.0,100.0,1,1,1,4,96.01803155522164,0,1,1,1,False,False,False,True,0,3,1,0,2,0,0,1,1,0,4,1
100.0,100.0,1,0,1,4,98.34983498349835,1,0,1,1,False,False,False,True,0,1,1,0,1,0,0,1,0,0,4,1
100.0,100.0,1,0,1,4,88.51744186046511,1,1,1,1,False,False,False,True,0,3,1,0,3,1,0,1,1,0,4,1
100.0,100.0,1,1,1,4,96.28450106157112,1,0,1,4,False,False,False,True,0,9,1,0,5,1,1,1,1,0,4,1
100.0,100.0,1,1,1,4,99.11684782608695,1,2,1,1,False,False,False,True,0,6,3,0,3,1,0,1,1,1,4,1
100.0,100.0,1,1,1,4,99.14965986394557,1,2,1,2,False,False,False,True,0,7,3,0,4,1,0,1,1,0,4,1
100.0,100.0,1,1,1,4,98.50154252974879,1,1,1,1,False,False,False,True,0,8,1,0,5,1,0,1,1,0,4,1
100.0,100.0,1,1,1,4,99.40557841792409,1,1,1,0,False,False,False,True,0,7,1,0,6,1,1,1,1,1,4,1
100.0,100.0,1,1,1,4,99.05704856199905,1,1,1,1,False,False,False,True,0,5,3,0,4,2,0,1,1,0,4,1
100.0,100.0,1,1,1,4,98.43962008141112,1,1,1,0,False,False,False,True,0,7,1,1,4,2,0,2,1,0,4,1
100.0,100.0,1,1,1,4,97.27120067170445,1,2,1,0,False,False,False,True,0,7,2,0,5,2,0,1,1,0,4,1
100.0,100.0,1,1,1,4,97.91183294663573,1,1,1,1,False,False,False,True,0,4,1,0,4,2,1,3,1,0,4,1
100.0,100.0,1,1,0,4,97.80123131046614,1,1,1,1,False,False,False,True,0,4,2,0,3,1,0,2,1,0,4,1
100.0,100.0,1,1,1,4,96.86940966010734,1,1,1,0,False,False,False,True,0,6,1,0,5,2,0,1,1,1,4,1
100.0,100.0,1,0,1,4,97.86096256684492,1,1,0,0,False,False,False,True,0,6,1,0,5,1,0,1,1,1,4,1
100.0,100.0,1,0,1,4,99.4123746975458,1,0,0,0,False,False,False,True,0,7,2,0,6,3,1,1,1,1,4,1
100.0,100.0,1,1,1,4,98.3695652173913,1,1,0,2,False,False,False,True,0,6,1,0,3,0,1,1,1,1,4,1
100.0,100.0,1,0,1,4,97.59797724399495,1,1,0,3,False,False,False,True,0,6,1,0,4,1,0,1,1,1,4,1
100.0,100.0,1,1,1,4,97.32083054253181,1,1,1,0,False,False,False,True,0,6,1,0,3,1,0,1,1,1,4,1
100.0,100.0,1,0,1,4,96.0239651416122,1,2,0,0,False,False,False,True,0,6,2,0,3,1,0,1,1,1,4,1
100.0,100.0,1,0,1,4,99.13995308835027,1,1,1,0,False,False,False,True,1,6,2,0,7,2,0,3,1,1,4,1
100.0,100.0,1,1,1,4,99.40334128878281,1,0,1,5,False,False,False,True,0,5,1,0,3,0,1,1,1,0,4,1
100.0,100.0,1,1,1,4,99.42307692307692,1,1,1,2,False,False,False,True,0,2,1,0,2,0,0,2,1,0,4,1
99.9516674722088,99.9516674722088,1,1,1,4,98.79168680521991,1,1,0,0,False,False,False,True,0,6,1,0,7,1,0,1,1,0,4,1
99.95709995709996,99.95709995709996,1,1,1,4,98.1981981981982,1,1,1,1,False,False,False,True,0,10,1,0,9,3,0,2,1,0,4,1
100.0,100.0,1,1,1,4,97.97488861887403,1,1,1,1,False,False,False,True,0,5,1,0,6,1,0,1,1,0,4,1
100.0,100.0,1,0,1,4,98.3267716535433,1,1,1,1,False,False,False,True,0,7,3,0,5,1,1,1,1,0,4,1
100.0,100.0,1,1,1,4,99.44289693593315,1,4,1,1,False,False,False,True,0,5,1,0,6,1,1,1,1,0,4,1
100.0,100.0,1,1,1,4,98.93314366998578,1,1,1,0,False,False,False,True,0,3,5,0,4,2,0,1,1,0,4,1
100.0,99.94680851063829,1,1,1,4,97.34042553191489,1,1,0,4,False,False,False,True,0,6,1,0,6,3,1,1,1,1,4,1
