IDDESA,NAMA_KAB,NAMA_KEC,NAMA_DESA,R105,Latitude,R307B_LAT2,Longitude,tps,tps3r,bank_sampah,pemilahan_sampah,skor_pengelolaan_sampah,pencemaran_air,pencemaran_tanah,pencemaran_udara,total_pencemaran,skor_kualitas_lingkungan,banjir,kebakaran_hutan,kekeringan,longsor,total_bencana,tingkat_kerawanan,skor_ketahanan_bencana,peringatan_dini,rambu_evakuasi,destana,skor_mitigasi_bencana,penanaman_pohon,daur_ulang_masyarakat,pupuk_organik,komunitas_lingkungan,skor_pelestarian,skor_lingkungan_total,kategori_lingkungan,cluster,label
3501020011,PACITAN,PUNUNG,GONDOSARI,1,-8.1104035,2,111.0796538,100,0,0,25,26.25,0,0,0,0,100.0,0,0,0,0,0,0,100,100,0,100,70.0,0,0,50,100,35.0,67.3125,Baik,1,Lingkungan Terbaik
3501020012,PACITAN,PUNUNG,TINATAR,2,-8.08465,2,111.0920117,100,100,100,25,81.25,0,0,0,0,100.0,0,0,0,0,0,0,100,0,100,100,60.0,100,100,0,100,80.0,86.3125,Sangat Baik,1,Lingkungan Terbaik
3501020013,PACITAN,PUNUNG,KEBONSARI,2,-8.0658417,2,111.0803017,0,0,0,0,0.0,0,0,0,0,100.0,0,0,0,0,0,0,100,0,100,0,30.0,0,0,0,0,0.0,49.5,Buruk,3,Lingkungan Ideal (Tanpa Masalah)
3501030001,PACITAN,PRINGKUKU,WATU KARUNG,2,-8.2242796,2,110.9786799,100,100,100,0,75.0,0,0,0,0,100.0,0,0,0,0,0,0,100,100,100,100,100.0,100,100,100,0,75.0,90.0,Sangat Baik,1,Lingkungan Terbaik
3501030002,PACITAN,PRINGKUKU,DERSONO,2,-8.2037881,2,110.9683077,0,0,0,0,0.0,0,0,0,0,100.0,0,0,0,1,1,25,75,0,100,0,30.0,0,0,100,0,20.0,46.25,Buruk,0,Lingkungan Sedang
3501030003,PACITAN,PRINGKUKU,SUGIHWARAS,2,-8.1915317,2,110.994245,100,0,0,0,20.0,0,0,0,0,100.0,0,0,0,0,0,0,100,0,0,0,0.0,0,0,100,0,20.0,53.0,Sedang,3,Lingkungan Ideal (Tanpa Masalah)
3501030004,PACITAN,PRINGKUKU,JLUBANG,1,-8.2090815,2,111.0062149,0,0,0,0,0.0,0,0,0,0,100.0,0,0,0,0,0,0,100,0,0,0,0.0,100,0,100,0,50.0,52.5,Sedang,3,Lingkungan Ideal (Tanpa Masalah)
3501030005,PACITAN,PRINGKUKU,CANDI,1,-8.219274,2,111.0274409,0,0,0,75,18.75,0,0,1,1,66.66,0,0,0,0,0,0,100,100,100,100,100.0,0,0,100,0,20.0,61.0195,Sedang,2,Lingkungan Rentan Pencemaran
3501030006,PACITAN,PRINGKUKU,POKO,1,-8.2204547,2,111.0430034,0,0,0,0,0.0,0,0,0,0,100.0,0,0,0,0,0,0,100,0,0,0,0.0,0,0,100,0,20.0,48.0,Buruk,3,Lingkungan Ideal (Tanpa Masalah)
3501030007,PACITAN,PRINGKUKU,DADAPAN,1,-8.2167958,2,111.0579149,100,100,100,0,75.0,0,0,0,0,100.0,0,0,1,1,2,50,50,0,100,0,30.0,0,100,100,100,70.0,66.25,Baik,0,Lingkungan Sedang
3501030008,PACITAN,PRINGKUKU,PRINGKUKU,1,-8.1893933,2,111.0437549,0,0,0,0,0.0,0,0,0,0,100.0,0,0,0,0,0,0,100,0,0,0,0.0,100,0,100,0,50.0,52.5,Sedang,3,Lingkungan Ideal (Tanpa Masalah)
3501030009,PACITAN,PRINGKUKU,SOBO,2,-8.1831418,2,111.0212366,0,0,0,0,0.0,0,0,0,0,100.0,0,0,0,0,0,0,100,0,0,0,0.0,100,0,100,0,50.0,52.5,Sedang,3,Lingkungan Ideal (Tanpa Masalah)
3501030010,PACITAN,PRINGKUKU,NGADIREJAN,1,-8.1653696,2,111.0443024,0,0,0,0,0.0,0,0,0,0,100.0,0,0,0,0,0,0,100,0,0,0,0.0,0,0,100,0,20.0,48.0,Buruk,3,Lingkungan Ideal (Tanpa Masalah)
